Date,Palm oil,Soybean oil,Rapeseed oil,Sunflower oil,Soybeans,Maize,Rice,Wheat (US),Phosphate rock,DAP,TSP,Urea ,Potassium chloride
01/01/2020,810.07,875.64,945.39,806.91,387.23,171.79,416.42,236.25,72.5,264.9,239,215.4,245
01/02/2020,728.81,800.41,902.34,823,375.63,168.71,418.97,227.15,72.5,279.38,245,214.38,245
01/03/2020,636.25,747.8,796.67,730,372.61,162.42,453.31,218.6,71.88,276.22,245,231.13,245
01/04/2020,608.88,679.98,758.96,732.1,361.26,146.91,512.71,220.34,70.75,282,245,235,245
01/05/2020,576.56,684.78,799.83,738.26,359.17,143.91,483.83,207.85,72.9,263,243,201.9,216
01/06/2020,656.49,755.71,850.98,788.36,369.58,147.99,491.03,199.46,75,273,240,202,202.5
01/07/2020,694.16,821.11,890.21,833.17,381.07,152.55,462.72,217.44,75,305.1,262.2,214.4,202.5
01/08/2020,760.3,866.94,921.55,877.14,384.55,149.34,480.19,215.97,76.88,341.88,276.25,249.5,202.5
01/09/2020,796.22,905.86,938.14,982.38,423.41,166.08,485.17,233.68,79.38,358.38,282.5,250.5,202.5
01/10/2020,819.27,914.77,927.71,981.4,454.25,186.75,461.92,258.78,80,357.1,290,245,202.5
01/11/2020,917.81,973.88,1047.78,1109.11,499.98,190.38,476.75,260.47,82.5,359.63,292.5,245,202.5
01/12/2020,1016.37,1026.2,1097.63,1170.02,510.94,198.77,500.49,259.85,83.33,388.5,320,245,202.5
01/01/2021,990.27,1098.67,1141.24,1276.12,576.37,234.47,520.43,282.87,85,421.3,337.6,265,202.5
01/02/2021,1019.86,1123.5,1272.13,1362.57,578.26,245.24,532.62,283.01,88.13,528.88,453.75,335,202.5
01/03/2021,1030.48,1284.81,1321.88,1611.11,585.71,245.17,510.63,272.85,96.25,534.13,458,352.88,202.5
01/04/2021,1078.05,1386.35,1312.33,1572.8,597.13,268.23,486.14,281.16,95,543.4,478,328.1,202.5
01/05/2021,1136.46,1574.67,1531.38,1584.59,646.8,305.31,479.11,284.12,102.5,574.63,527.5,331.63,202.5
01/06/2021,1004.42,1518.16,1527.59,1296.75,614.68,292.56,458.4,274.51,125,604.75,550,393.25,202.5
01/07/2021,1062.99,1468.34,1410.08,1282.01,600.44,278.43,413.54,274.47,125,613,555,441.5,202.5
01/08/2021,1141.82,1433.94,1519.19,1355.69,585.8,256.61,390.12,300.35,136.88,603.13,555,446.88,221
01/09/2021,1181.38,1398.75,1629.14,1309.52,557.55,235.62,389.89,300.57,147.5,643.75,573.75,418.75,221
01/10/2021,1310.25,1483.52,1795.17,1420.53,551.95,239.65,395.79,354.67,147.5,672.9,618,695,221
01/11/2021,1340.65,1442.96,1825.34,1415.62,551.04,248.72,395.99,356.97,153.13,726.69,665,900.5,221
01/12/2021,1270.29,1411.21,1742.5,1361.83,554.14,264.54,394.15,352.31,176.67,745,686.67,890,221
01/01/2022,1344.79,1469.56,1865.36,1411.73,606.22,276.62,411.27,349.7,173.13,699.38,676.25,846.38,221
01/02/2022,1522.36,1595.74,1744.2,1499.12,661.63,292.62,409.79,364.92,172.5,747.13,687.5,744.17,391.75
01/03/2022,1776.96,1956.88,2162.3,2361.13,720.6,335.53,409.95,466.48,178.75,938.13,792.5,872.5,562.5
01/04/2022,1682.74,1947.51,2266.17,2275.76,720.79,348.17,417.86,461.29,249.5,954,856,925,562.5
01/05/2022,1716.92,1962.88,2218.45,2079.3,724.09,344.84,442.83,480.34,255,842.5,827.5,707.5,562.5
01/06/2022,1501.1,1751.76,2000.53,1884.59,737.06,335.71,431.12,419.74,287.5,783.75,746.5,690,562.5
01/07/2022,,,,,,,,,,,,,
01/08/2022,,,,,,,,,,,,,
01/09/2022,,,,,,,,,,,,,
01/10/2022,,,,,,,,,,,,,
01/11/2022,,,,,,,,,,,,,
01/12/2022,,,,,,,,,,,,,
