Month,Palm oil (2008),Palm oil (2022),Soybean oil (2008),Soybean oil (2022),Rapeseed oil (2008),Rapeseed oil (2022),Sunflower oil (2008),Sunflower oil (2022),Soybeans (2008),Soybeans (2022),Maize (2008),Maize (2022),Rice (2008),Rice (2022),"Wheat, US (2008)","Wheat, US (2022)",Phosphate rock (2008),Phosphate rock (2022),DAP (2008),DAP (2022),TSP (2008),TSP (2022),Urea (2008),Urea (2022),Potassium chloride (2008),Potassium chloride (2022)
January,144.4504956,66.00911032,138.9190601,67.82696085,90.7533166,97.31116259,189.1708968,74.95507554,105.6420233,56.55295303,101.3231064,61.0275919,41.81145405,-1.23613179,129.4958138,48.02170959,62.5,138.8,143.0925092,164.01661,168.2587065,182.9497908,86.17152743,292.9340761,37.68656716,-9.795918367
February,167.6999367,108.8829736,165.1883661,99.36532527,99.59370593,93.29742669,209.0756303,82.15309842,123.3501946,76.13875356,105.4203032,73.44533893,69.77406808,-2.190504037,147.2715253,60.65465512,62.5,137.9310345,190.8136483,167.4242967,262.8731343,180.6122449,53.41905319,247.1265976,43.28358209,59.89795918
March,191.4627952,179.286444,175.3866075,161.6849425,104.4653858,171.4172744,207.4257426,223.4424658,117.4552529,93.39255522,122.666916,106.5807015,117.7502223,-9.564200704,171.0018975,113.3960811,62.5,148.6783528,269.0529695,239.6314532,336.502991,223.4693878,52.59640103,277.4931857,43.28358209,129.5918367
April,177.3923093,176.3664433,163.161498,186.4069531,90.18378742,198.5888584,178.9074355,210.8537085,112.8333333,99.52112052,128.780265,136.9938634,222.173983,-18.49973669,113.4898117,109.3562952,264.4886364,252.6501767,311.4347357,238.2978723,413.2169576,249.3877551,86.86868687,293.6170213,134.6268657,129.5918367
May,174.2185562,197.7868739,144.4151694,186.6438856,84.07933174,177.3651901,188.9543446,181.6487416,112.8270677,101.6009132,120.025795,139.629042,207.504143,-8.474094589,69.68226485,131.1016339,331.8181818,249.7942387,328.2954058,220.3422053,417.2069825,240.5349794,176.1437908,250.4210005,225.9701493,160.4166667
June,170.4554961,128.6554251,155.6256765,131.8032049,91.81357015,135.0854309,207.0570571,139.051956,137.7715356,99.43178743,162.4325297,126.8521721,165.4373971,-12.20049896,79.92517044,110.4434609,331.8181818,283.3333333,332.1032813,187.0879121,420.2618454,211.0416667,205.7142857,241.5841584,225.9701493,177.7777778
July,143.0800665,,139.1993778,,88.82254015,,161.5146832,,134.4986201,,132.7728801,,148.2537592,,65.65530345,,445.4545455,,367.1081198,,450.7425743,,257.0559611,,216.5217391,
August,80.35600644,,110.3261729,,67.19769626,,98.04804805,,112.7022901,,101.5870336,,124.614761,,72.8505501,,559.0909091,,366.5936473,,460.1485149,,272.9216152,,183.6363636,
September,61.57186449,,99.38905952,,57.59739351,,75.78475336,,103.6744186,,92.07760711,,113.722316,,43.115716,,531.8181818,,335.3137146,,434.2821782,,246.0778617,,183.6363636,
October,23.64347116,,53.32921215,,32.67210607,,42.64264264,,46.47252747,,28.7642783,,77.70333845,,3.279151779,,922.7272727,,316.4759725,,377.7227723,,174.8565966,,183.6363636,
November,1.693580839,,22.19574644,,18.53500164,,15.65096953,,23.92,,-0.466562986,,64.21891806,,1.790277337,,922.7272727,,223.6467236,,200,,26.4431006,,183.6363636,
December,-6.17370742,,6.793960924,,-1.906801981,,3.97260274,,20.99326599,,-1.319423136,,52.47080516,,1.341671441,,922.7272727,,121.1466865,,97.08029197,,-4.635761589,,183.6363636,
