Exports_to_Indonesia;Value
Cereals;655.930.000
Iron and steel;60.130.000
Sugars and sugar confectionery;3.430.000
Milling products, malt, starches, inlin, wheat gluten;3.220.000
Edible vegetables and certain roots and tubers;2.100.000
Optical, photo, technical, medical apparatus;1.940.000
Electrical, electronic equipment;1.510.000
Coffee, tea, mate and spices;1.300.000
Wadding, felt, nonwovens, yarns, twine, cordage;870.450
Machinery, nuclear reactors, boilers;675.650
Dairy products, eggs, honey, edible products;630.510
Oil seed, oleagic fruits, grain, seed, fruits;475.540
Albuminoids, modified starches, glues, enzymes;398.350
Ships, boats, and other floating structures;340.810
Commodities not specified according to kind;327.760
Miscellaneous chemical products;326.010
Ores slag and ash;284.480
Animal, vegetable fats and oils, cleavage products;187.340
Wood and articles of wood, wood charcoal;181.150
Salt, sulphur, earth, stone, plaster, lime and cement;164.440
Articles of iron or steel;114.420
Rubbers;113.780
Cereal, flour, starch, milk preparations and products;60.430
Stone, plaster, cement, asbestos, mica or similar materials;56.340
Tools, implements, cutlery of base metal;47.410
Plastics;34.700
Vehicles other than railway, tramway;33.090
Paper and paperboard, articles of pulp, paper and board;14.660
Soaps, lubricants, waxes, candles, modelling pastes;13.140
Live animals;11.050
Organic chemicals;7.650
Articles of leather, animal gut, harness, travel good;4.650
Essential oils, perfumes, cosmetics, toileteries;4.590
Toys, games, sports requisites;4.040
Other made textile articles, sets, worn clothing;3.470
Works of art, collectors' pieces and antiques;2.530
Railway, tramway locomotives, rolling stock, equipment;2.040
Aircraft, spacecraft;1.140
Inorganic chemicals, precious metal compound, isotope;817
Articles of apparel, not knit or crocheted;721
Tobacco and manufactures tobacco substitutes;663
Beverages, spirits and vinegar;599
Furniture, lighting signs, prefabricated buildings;390
Aluminum;270
Miscellanneous manufactured articles;148
Copper;143
Impregnated, coated or laminated textile fabric;115
Articles of apparel, knit or crocheted;77
Miscellaneous articles of base metal;68
Printed books, newspapers, pictures;61
